,Country Name,population,GDP,pol3,dpt3,prevalence_obesity,fine_particular_matter,hepB,life_expectancy,CHE,prevalence_underweight,alcohol_consumption
AFG,Afghanistan,41128771.0,14502158192.0904,69.0,60.0,17.59,62.49,60.0,59.13,81.32,6.45,0.011
AGO,Angola,35588987.0,104399746853.401,41.0,54.0,10.54,27.16,54.0,62.13,64.16,9.81,4.13
ALB,Albania,2777689.0,18916378860.5488,98.0,97.0,26.58,16.28,97.0,76.39,464.7,1.29,4.47
AND,Andorra,79824.0,3380602042.84283,97.0,98.0,20.47,8.52,97.0,,3506.0,2.41,9.68
ARE,United Arab Emirates,9441129.0,507063968277.74,95.0,96.0,31.55,41.75,96.0,78.31,2352.0,2.14,2.08
ARG,Argentina,46234830.0,631133384439.944,84.0,66.0,36.03,12.04,66.0,74.57,1045.0,1.6,8.05
ARM,Armenia,2780469.0,19513474648.2429,93.0,94.0,27.87,34.13,94.0,72.98,612.8,2.71,4.28
ASM,American Samoa,44273.0,871000000.0,,,75.56,,,,,0.29,
ATG,Antigua and Barbuda,93763.0,1867733333.33333,99.0,97.0,34.06,8.3,98.0,76.92,923.4,4.64,6.66
AUS,Australia,26014399.0,1692956646855.7,94.0,94.0,31.82,8.93,94.0,83.1,7055.0,1.56,10.29
AUT,Austria,9041851.0,470941926750.741,84.0,84.0,17.04,11.51,84.0,80.99,6505.0,1.89,11.51
AZE,Azerbaijan,10141756.0,78807470588.2353,88.0,83.0,27.5,24.64,83.0,72.91,249.1,2.31,2.49
BDI,Burundi,12889576.0,3338722827.65691,91.0,89.0,4.53,28.0,89.0,64.01,24.27,15.91,4.16
BEL,Belgium,11685814.0,583613982019.263,98.0,98.0,22.0,11.26,97.0,81.51,5680.0,1.8,9.43
BEN,Benin,13352864.0,17425418044.2906,65.0,69.0,9.89,31.51,69.0,64.01,35.13,7.97,8.83
BFA,Burkina Faso,22673762.0,18820219331.2261,92.0,94.0,6.1,40.74,94.0,62.3,56.95,11.26,11.27
BGD,Bangladesh,171186372.0,460131688909.301,98.0,98.0,5.29,45.99,98.0,73.1,57.94,12.73,0.092
BGR,Bulgaria,6465097.0,90346169914.9349,91.0,92.0,24.25,17.29,92.0,71.31,1040.0,2.48,11.62
BHR,Bahrain,1472233.0,44383297872.3404,97.0,99.0,37.19,51.82,99.0,74.38,1146.0,2.63,1.25
BHS,"Bahamas, The",409984.0,13136400000.0,87.0,87.0,47.61,5.2,87.0,70.43,1962.0,3.41,3.65
BIH,Bosnia and Herzegovina,3233526.0,24534663636.1778,75.0,73.0,25.47,26.19,77.0,74.85,691.5,1.83,5.87
BLR,Belarus,9228071.0,73775179924.603,98.0,98.0,26.55,15.48,97.0,73.12,467.5,1.77,11.63
BLZ,Belize,405272.0,2830507575.6841,84.0,85.0,41.91,10.51,85.0,73.32,310.2,2.34,3.67
BMU,Bermuda,63595.0,7827980000.0,,,34.01,,,,,4.48,
BOL,Bolivia,12224110.0,44008282879.8842,69.0,67.0,27.8,25.23,67.0,65.41,273.0,1.74,3.59
BRA,Brazil,215313498.0,1951923942083.32,75.0,90.0,28.76,10.94,90.0,72.39,761.3,2.64,7.7
BRB,Barbados,281635.0,5840673700.0,86.0,85.0,38.23,9.79,85.0,76.84,1400.0,3.25,8.22
