IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2023,true,,,,,,,,,,,,,16,,,,,,16,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2023,true,,,,,,,,,,,,,35,,,,,,35,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,CAF,Central African Republic,Year,2023,true,,,,,,,,,,,,,42,,,,,,42,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2023,true,,,,,,,,,,,,,42,,,,,,42,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2023,true,,,,,,,,,,,,,46,,,,,,46,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,GIN,Guinea,Year,2023,true,,,,,,,,,,,,,47,,,,,,47,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,HTI,Haiti,Year,2023,true,,,,,,,,,,,,,51,,,,,,51,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2023,true,,,,,,,,,,,,,51,,,,,,51,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,AGO,Angola,Year,2023,true,,,,,,,,,,,,,54,,,,,,54,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2023,true,,,,,,,,,,,,,54,,,,,,54,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2023,true,,,,,,,,,,,,,55,,,,,,55,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,DMA,Dominica,Year,2023,true,,,,,,,,,,,,,56,,,,,,56,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,,,,,,,,,,,,,60,,,,,,60,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2023,true,,,,,,,,,,,,,60,,,,,,60,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,NGA,Nigeria,Year,2023,true,,,,,,,,,,,,,62,,,,,,62,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2023,true,,,,,,,,,,,,,65,,,,,,65,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2023,true,,,,,,,,,,,,,65,,,,,,65,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2023,true,,,,,,,,,,,,,66,,,,,,66,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,PAN,Panama,Year,2023,true,,,,,,,,,,,,,66,,,,,,66,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2023,true,,,,,,,,,,,,,66,,,,,,66,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2023,true,,,,,,,,,,,,,67,,,,,,67,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,TCD,Chad,Year,2023,true,,,,,,,,,,,,,67,,,,,,67,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,BEN,Benin,Year,2023,true,,,,,,,,,,,,,69,,,,,,69,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,ECU,Ecuador,Year,2023,true,,,,,,,,,,,,,70,,,,,,70,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,GAB,Gabon,Year,2023,true,,,,,,,,,,,,,70,,,,,,70,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2023,true,,,,,,,,,,,,,70,,,,,,70,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,PRY,Paraguay,Year,2023,true,,,,,,,,,,,,,71,,,,,,71,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2023,true,,,,,,,,,,,,,72,,,,,,72,,,EN,2024-07-11T22:00:00.000Z
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2023,true,,,,,,,,,,,,,72,,,,,,72,,,EN,2024-07-11T22:00:00.000Z
